Datum;Volume;Open;Hoog;Laag;Slot
10-2-2021;Null;660,5;663,23;654,49;657,23
9-2-2021;Null;657,54;657,98;653,87;657,07
8-2-2021;Null;657,73;658,25;654,38;656,39
5-2-2021;Null;657,7;657,7;652,26;653,24
4-2-2021;Null;652,53;655,8;651,61;654,38
3-2-2021;Null;658,22;659,16;651,49;654,89
2-2-2021;Null;651,34;654,58;650,88;652,87
1-2-2021;Null;642,66;648,88;642,22;647,34
29-1-2021;Null;641,33;644,94;637,11;637,11
28-1-2021;Null;639,55;650,12;633,68;649
27-1-2021;Null;654,34;656,36;642,09;647,92
26-1-2021;Null;656,58;662,47;656,07;658,54
25-1-2021;Null;666,94;667,85;655,16;658,24
22-1-2021;Null;660,15;660,89;655,9;660,53
21-1-2021;Null;663,46;666,66;662,48;663,88
20-1-2021;Null;655,66;661,09;654,54;659,3
19-1-2021;Null;654,55;654,55;649,13;651,28
18-1-2021;Null;648,85;651,61;648,83;650,3
15-1-2021;Null;654,39;655,24;647,54;651,73
14-1-2021;Null;650,37;656,66;649,14;656,66
13-1-2021;Null;644,24;645,42;641,44;644,38
12-1-2021;Null;645,95;646,06;641,43;643,58
11-1-2021;Null;645,16;646,92;639,52;642,42
8-1-2021;Null;643,04;645,6;642,2;645,6
7-1-2021;Null;641,28;642,39;635,96;637,41
6-1-2021;Null;636,57;641,25;631,4;639,16
5-1-2021;Null;629,94;634,11;628,98;633,62
4-1-2021;Null;632,02;636,24;629,41;631,03
31-12-2020;Null;625,19;628,05;623,94;624,61
30-12-2020;Null;630,11;631,05;627,59;628,06
29-12-2020;Null;629,17;633,12;628,4;629,14
28-12-2020;Null;627,54;630,03;626,88;627,59
24-12-2020;Null;623,92;626,46;623,62;626,37
23-12-2020;Null;618,46;623,64;618,45;622,42
22-12-2020;Null;611,87;618,86;611,83;617,5
21-12-2020;Null;615,64;617,31;602,64;609,39
18-12-2020;Null;623,69;628,89;623,17;625,25
17-12-2020;Null;625,36;626,47;624,35;624,75
16-12-2020;Null;620,99;623,61;618,11;621,86
15-12-2020;Null;612,22;618,59;611,53;617,34
14-12-2020;Null;617,99;619,56;612,88;612,88
11-12-2020;Null;616,92;618,02;611,46;614,46
10-12-2020;Null;619,39;621,62;614,09;618,1
9-12-2020;Null;619,33;622,01;617,94;619,72
8-12-2020;Null;615,37;618,36;613,75;616,59
7-12-2020;Null;615,78;616,35;611,78;616,2
4-12-2020;Null;611,53;615,67;610,07;615,67
3-12-2020;Null;612,43;613,26;608,39;610,48
2-12-2020;Null;608,76;612,32;607,73;610,94
1-12-2020;Null;609;613,41;607,3;611,41
30-11-2020;Null;609,21;615,11;606,02;606,02
27-11-2020;Null;608,4;613,59;608,08;611,67
26-11-2020;Null;608,28;610,13;607,1;607,39
25-11-2020;Null;607,49;608,09;603,55;606,39
24-11-2020;Null;607,47;608,26;604,47;607,46
23-11-2020;Null;605,65;607,3;601,37;601,37
20-11-2020;Null;595,69;601,66;595,12;601,62
19-11-2020;Null;596;597,95;593,97;596,01
